mainlocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm,land_price
الخبر,حي الشراع,جنوب غربي,تجاري,60.0,875,2171,1899625
الظهران,حي القصور,شرق,سكني,20.0,875,2000,1750000
الخبر,حي الامواج,شمال,تجاري,60.0,2100,1650,3465000
جدة,حي المروة,جنوب,سكني,15.0,9700,3000,29100000
الخبر,حي المرجان,غرب,سكني أو تجاري,60.0,40000,325,13000000
القطيف,حي الناصرة,شمال شرقي,سكني,15.0,555,2700,1498500
الرياض,حي النفل,شمال,سكني أو تجاري,36.0,1500,4000,6000000
جدة,حي الياقوت,شرق,سكني,40.0,638,1880,1199440
الرياض,حي عكاظ,4 شوارع,سكني,20.0,360,1200,432000
جدة,حي الزمرد,غرب,سكني,16.0,900,300,270000
جدة,حي الزمرد,جنوب,سكني,16.0,900,350,315000
الرياض,حي المهدية,شرق,سكني أو تجاري,20.0,400,2200,880000
الرياض,حي المروج,شمال,سكني أو تجاري,30.0,575,4500,2587500
الرياض,حي الروضة,غرب,سكني,20.0,541,2400,1298400
الرياض,حي المونسية,جنوب شرقي,سكني,18.0,288,2850,820800
الرياض,حي النظيم,غرب,سكني أو تجاري,35.0,750,1650,1237500
الرياض,حي الروابي,3 شوارع,سكني,12.0,925,2400,2220000
جدة,حي الزمرد,غرب,سكني,15.0,312,1682,524784
الرياض,حي الخليج,جنوب غربي,تجاري,40.0,1000,1900,1900000
جدة,حي الزمرد,جنوب,سكني,16.0,806,496,399776
الرياض,حي حطين,شمال,سكني,15.0,750,4200,3150000
الرياض,حي الملقا,جنوب,سكني,18.0,3900,4400,17160000
الرياض,حي اليرموك,3 شوارع,تجاري,36.0,3600,3700,13320000
الرياض,حي النهضة,غرب,سكني,15.0,375,2050,768750
الرياض,حي القدس,غرب,تجاري,35.0,969,3700,3585300
جدة,حي اللؤلؤ,جنوب شرقي,سكني,16.0,400,2000,800000
الرياض,حي الياسمين,3 شوارع,تجاري,60.0,4873,5000,24365000
الرياض,حي الملقا,شرق,تجاري,60.0,1800,7000,12600000
الرياض,حي القدس,غرب,سكني,15.0,600,2900,1740000
الرياض,حي الملقا,جنوب,سكني,15.0,446,4000,1784000
الرياض,حي الملقا,شمال شرقي,سكني,20.0,811,3950,3203450
الرياض,حي الرمال,شمال,سكني,20.0,344,1500,516000
الرياض,حي النرجس,جنوب غربي,تجاري,80.0,1050,7000,7350000
الرياض,حي لبن,غرب,سكني,20.0,450,2777,1249650
الرياض,حي الياسمين,شمال,سكني,20.0,370,3908,1445960
الرياض,حي الفلاح,جنوب غربي,سكني,20.0,680,3350,2278000
الرياض,حي المعيزلة,جنوب,تجاري,30.0,750,1500,1125000
الرياض,حي عرقة,شرق,سكني,15.0,375,3300,1237500
الرياض,حي الملقا,غرب,سكني,18.0,875,3900,3412500
الرياض,حي الملقا,جنوب شرقي,تجاري,36.0,12438,3300,41045400
الرياض,حي القادسية,شرق,تجاري,40.0,20000,2000,40000000
الرياض,حي الهدا,جنوب شرقي,سكني,15.0,3046,2500,7615000
الرياض,حي النرجس,جنوب غربي,سكني أو تجاري,30.0,900,4000,3600000
الرياض,حي الخزامى,شمال شرقي,سكني,20.0,7000,3200,22400000
الرياض,حي حطين,جنوب,سكني أو تجاري,30.0,700,5000,3500000
الدرعية,حي الفيصلية,جنوب,سكني,20.0,900,3300,2970000
الرياض,حي الملقا,شمال غربي,سكني,28.0,1600,5000,8000000
الرياض,حي الوادي,غرب,سكني,15.0,1200,2900,3480000
الرياض,حي عريض,جنوب,سكني,15.0,405,691,279855
الرياض,حي حطين,شمال,سكني,20.0,875,4000,3500000
الرياض,حي عرقة,شرق,سكني,15.0,375,3200,1200000
الرياض,حي بنبان,3 شوارع,سكني,20.0,1820,934,1699880
الرياض,حي المحمدية,3 شوارع,سكني,12.0,700,3450,2415000
الرياض,حي ظهرة لبن,شمال,سكني,20.0,500,1050,525000
الرياض,حي النفل,غرب,سكني,21.0,675,3300,2227500
الرياض,حي عرقة,شمال,سكني,15.0,562,3300,1854600
الرياض,حي المهدية,غرب,سكني,20.0,690,1200,828000
الرياض,حي عكاظ,شمال,سكني,20.0,312,1200,374400
الرياض,حي الياسمين,شمال غربي,سكني,15.0,840,3500,2940000
الرياض,حي النهضة,جنوب,سكني,10.0,600,1750,1050000
الرياض,حي قرطبة,جنوب,سكني,15.0,360,2800,1008000
الدرعية,حي الخالدية,جنوب غربي,سكني,18.0,720,3500,2520000
الرياض,حي غرناطة,شرق,سكني,15.0,900,2600,2340000
الرياض,حي الملقا,3 شوارع,سكني,35.0,3600,4200,15120000
الرياض,حي حطين,شرق,سكني,25.0,9950,4000,39800000
الرياض,حي الملقا,غرب,سكني,20.0,900,3800,3420000
الرياض,حي المروج,4 شوارع,سكني,15.0,6000,2500,15000000
الرياض,حي الملقا,3 شوارع,سكني,15.0,3780,4000,15120000
الرياض,حي حطين,شمال شرقي,سكني,20.0,1200,3800,4560000
الرياض,حي الملقا,شمال شرقي,سكني,18.0,838,4800,4022400
الدرعية,حي الخالدية,شرق,سكني,15.0,420,2500,1050000
الرياض,حي الرمال,4 شوارع,سكني,60.0,4831,1250,6038750
الرياض,حي الملقا,3 شوارع,تجاري,60.0,2140,10000,21400000
الرياض,حي الربيع,شمال غربي,سكني,15.0,982,4000,3928000
الرياض,حي المونسية,شمال,تجاري,36.0,900,2000,1800000
الرياض,حي حطين,جنوب شرقي,سكني,25.0,2100,4700,9870000
الرياض,حي طيبة,3 شوارع,سكني,20.0,1143,1350,1543050
الرياض,حي قرطبة,شرق,سكني,20.0,1325,2700,3577500
الخبر,حي التحلية,شمال شرقي,سكني,15.0,467,1498,699566
الرياض,حي اليرموك,شمال غربي,سكني,6.0,687,2700,1854900
الرياض,حي النرجس,جنوب,سكني,15.0,450,2400,1080000
الرياض,حي النرجس,غرب,سكني,20.0,1350,3050,4117500
الرياض,حي الملقا,شمال شرقي,سكني,15.0,765,4000,3060000
الرياض,حي الملقا,4 شوارع,سكني,28.0,23900,4000,95600000
بريدة,حي الرحاب,جنوب,سكني,15.0,1473,500,736500
الرياض,حي النسيم الغربي,3 شوارع,سكني,10.0,750,1600,1200000
الرياض,حي الندى,شمال,تجاري,36.0,10860,3300,35838000
الخبر,حي العقيق,شمال شرقي,سكني,20.0,392,969,379848
الرياض,حي المونسية,شرق,سكني,15.0,288,2620,754560
الرياض,حي اليرموك,شمال غربي,تجاري,36.0,886,2800,2480800
الرياض,حي الملقا,جنوب,سكني أو تجاري,20.0,860,4500,3870000
الخبر,حي التحلية,شمال شرقي,سكني,20.0,600,2,1200
الرياض,حي المحمدية,شمال غربي,سكني,12.0,494,4000,1976000
الرياض,حي الندى,شمال,تجاري,60.0,8400,6000,50400000
الرياض,حي حطين,شرق,سكني,30.0,3500,4500,15750000
الرياض,حي الصحافة,شمال,تجاري,36.0,720,4200,3024000
الرياض,حي الملقا,شمال شرقي,تجاري,30.0,1050,4200,4410000
الرياض,حي الملقا,شمال شرقي,سكني,15.0,1089,3900,4247100
الخبر,حي التحلية,غرب,سكني,20.0,542,1150,623300
الرياض,حي الملقا,شمال غربي,سكني,20.0,900,3700,3330000
جدة,حي الزمرد,شمال,سكني,20.0,900,888,799200
ابها,حي القرى,جنوب,سكني أو تجاري,20.0,1173,1278,1499094
الرياض,حي بنبان,جنوب,سكني,15.0,750,600,450000
جازان,حي الشاطئ,شمال شرقي,سكني,20.0,672,1488,999936
الرياض,حي ضاحية نمار,شمال,سكني,20.0,350,857,299950
جدة,حي الشراع,شرق,سكني,15.0,660,2100,1386000
الرياض,حي القيروان,شمال شرقي,سكني أو تجاري,30.0,17700,1400,24780000
الرياض,حي الورود,3 شوارع,تجاري,40.0,1033,10000,10330000
الرياض,حي العارض,شمال شرقي,تجاري,30.0,950,2500,2375000
مكة المكرمة,حي الملك فهد,جنوب شرقي,سكني,15.0,624,1201,749424
الرياض,حي بنبان,جنوب شرقي,سكني أو تجاري,20.0,814,550,447700
الدمام,حي الفيصلية,شرق,سكني أو تجاري,30.0,4612,1100,5073200
الرياض,حي حطين,جنوب,سكني,15.0,750,4000,3000000
رابغ,حي الصليب الشرقي,شرق,تجاري,30.0,714,560,399840
رابغ,حي الصليب الغربي,شرق,سكني,15.0,735,204,149940
الرياض,حي عكاظ,شرق,سكني أو تجاري,35.0,7747,1000,7747000
الرياض,حي ضاحية نمار,شمال,سكني,20.0,2250,450,1012500
الرياض,حي النسيم الغربي,شمال,تجاري,40.0,875,2000,1750000
الرياض,حي ظهرة نمار,شمال شرقي,سكني,20.0,450,1350,607500
الطائف,حي الخالدية,شرق,سكني أو تجاري,35.0,30444,1500,45666000
بريدة,حي سلطانة,جنوب غربي,سكني أو تجاري,30.0,1500,940,1410000
المدينة المنورة,حي الدفاع,جنوب,تجاري,60.0,3463,2500,8657500
بيش,حي بيش,شرق,سكني أو تجاري,100.0,188000,350,65800000
عرعر,حي الربوه,شمال شرقي,سكني أو تجاري,60.0,797,400,318800
صبيا,حي الرونة,شمال,سكني أو تجاري,100.0,24900,180,4482000
الرياض,حي الغدير,غرب,سكني,15.0,420,4650,1953000
الرياض,حي الغدير,جنوب غربي,سكني,20.0,756,5200,3931200
الرياض,حي الرحمانية,3 شوارع,سكني,11.0,540,3500,1890000
الرياض,حي النرجس,شمال,سكني,25.0,525,3200,1680000
ابو عريش,حي المهدج,جنوب,سكني,15.0,640,281,179840
الرياض,حي المهدية,شرق,سكني أو تجاري,20.0,400,2012,804800
الرياض,حي الوادي,غرب,سكني,15.0,300,2950,885000
الرياض,حي قرطبة,3 شوارع,تجاري,80.0,9068,4500,40806000
الرياض,حي بنبان,جنوب,سكني,15.0,720,694,499680
الرياض,حي الملقا,غرب,سكني,20.0,360,4000,1440000
الرياض,حي الرمال,شمال,سكني,15.0,360,1900,684000
الرياض,حي العقيق,3 شوارع,سكني أو تجاري,30.0,2500,3900,9750000
الرياض,حي السويدي,جنوب شرقي,سكني,15.0,529,1250,661250
الرياض,حي قرطبة,شمال,سكني,15.0,720,2700,1944000
الرياض,حي المونسية,شمال,سكني,15.0,372,2400,892800
الدرعية,حي الدرعية الجديدة,شمال,سكني,20.0,42000,250,10500000
الرياض,حي القيروان,شمال غربي,سكني,15.0,1030,1100,1133000
الرياض,حي المونسية,جنوب,سكني,20.0,500,2600,1300000
الرياض,حي المرسلات,شرق,سكني,15.0,375,3000,1125000
الرياض,حي النهضة,جنوب شرقي,سكني,15.0,600,2300,1380000
الرياض,حي المونسية,شمال شرقي,سكني,15.0,4516,2400,10838400
الرياض,حي الملقا,غرب,سكني,25.0,920,4300,3956000
الخبر,حي التحلية,جنوب غربي,سكني,20.0,585,1450,848250
الرياض,حي الملقا,شمال غربي,سكني,25.0,2250,5000,11250000
الرياض,حي المونسية,شمال,سكني أو تجاري,30.0,600,2000,1200000
الهفوف,حي الملك فهد,جنوب شرقي,سكني,15.0,492,1300,639600
الرياض,حي اليرموك,جنوب شرقي,سكني,15.0,378,2750,1039500
الرياض,حي الخزامى,جنوب,سكني أو تجاري,30.0,560,4200,2352000
الرياض,حي اليرموك,شمال,سكني,20.0,312,2600,811200
الرياض,حي السفارات,3 شوارع,سكني أو تجاري,20.0,4200,5000,21000000
الهفوف,حي جنوب الهفوف,شمال شرقي,سكني,15.0,400,875,350000
الرياض,حي الياسمين,جنوب,سكني أو تجاري,36.0,750,4200,3150000
الرياض,حي ظهرة لبن,جنوب,سكني,20.0,450,1200,540000
الرياض,حي حطين,جنوب,سكني,30.0,700,5000,3500000
الرياض,حي الربيع,شمال غربي,سكني,15.0,981,3900,3825900
الرياض,حي الياسمين,شمال,سكني,15.0,1250,3300,4125000
الرياض,حي المهدية,شمال غربي,سكني أو تجاري,20.0,900,1333,1199700
الرياض,حي الملك عبدالله,غرب,سكني,15.0,635,3000,1905000
الرياض,حي النرجس,3 شوارع,تجاري,80.0,1050,6000,6300000
الرياض,حي قرطبة,شمال,سكني,15.0,360,2900,1044000
الهفوف,حي الجامعيين,شرق,سكني,15.0,500,1020,510000
الرياض,حي السليمانية,شمال شرقي,سكني,15.0,2964,2450,7261800
الرياض,حي المهدية,شمال,سكني,20.0,600,1000,600000
الرياض,حي الازدهار,شمال شرقي,سكني,20.0,900,3100,2790000
الخبر,حي الامواج,جنوب,سكني,20.0,628,1003,629884
الرياض,حي النرجس,شرق,سكني,15.0,450,3000,1350000
الرياض,حي حطين,4 شوارع,سكني,30.0,5855,6500,38057500
الرياض,حي النظيم,شرق,سكني,30.0,858,1300,1115400
الرياض,حي الصحافة,غرب,سكني,15.0,900,3900,3510000
الرياض,حي الملقا,شمال شرقي,سكني,20.0,808,4300,3474400
الرياض,حي النرجس,شمال شرقي,سكني,15.0,1050,2900,3045000
الرياض,حي الملك عبدالله,شمال,سكني,15.0,330,3300,1089000
الرياض,حي المونسية,جنوب,سكني أو تجاري,30.0,600,3100,1860000
الرياض,حي الملقا,غرب,سكني,20.0,900,4250,3825000
الرياض,حي بنبان,جنوب,سكني,15.0,750,643,482250
الرياض,حي النهضة,جنوب شرقي,سكني,20.0,1800,2500,4500000
الخبر,حي الامواج,غرب,سكني,16.0,420,833,349860
الرياض,حي المصيف,شمال,سكني,10.0,575,2260,1299500
الرياض,حي الملقا,غرب,سكني,20.0,390,3700,1443000
الرياض,حي القيروان,غرب,سكني,15.0,300,6666,1999800
الرياض,حي الملقا,شمال,سكني,20.0,687,4200,2885400
الرياض,حي الوادي,غرب,تجاري,61.0,2025,5200,10530000
الرياض,حي الرمال,شمال شرقي,سكني,18.0,342,1850,632700
الرياض,حي النرجس,غرب,سكني,15.0,456,3200,1459200
الرياض,حي المغرزات,شمال,سكني,30.0,1125,2900,3262500
الرياض,حي الملقا,شمال,سكني,18.0,375,4000,1500000
الرياض,حي عرقة,4 شوارع,سكني أو تجاري,60.0,13902,2350,32669700
الرياض,حي الغدير,شمال,سكني أو تجاري,20.0,600,4200,2520000
الرياض,حي الرمال,جنوب,سكني,15.0,414,1600,662400
الرياض,حي الملقا,جنوب,تجاري,60.0,900,6000,5400000
الرياض,حي الملك عبدالله,شمال,سكني,15.0,325,3300,1072500
الخبر,حي العقيق,غرب,سكني,25.0,482,840,404880
الرياض,حي الروضة,شمال,سكني,12.0,598,2350,1405300
الرياض,حي الرمال,شمال,سكني,15.0,770,1500,1155000
الخبر,حي الصواري,غرب,تجاري,60.0,1600,1250,2000000
الرياض,حي الملقا,غرب,سكني,30.0,1904,3850,7330400
الرياض,حي الندى,4 شوارع,تجاري,60.0,17820,5500,98010000
الخبر,حي الصواري,شمال شرقي,سكني,15.0,650,1076,699400
جازان,حي الشاطئ,غرب,سكني أو تجاري,45.0,3040,2500,7600000
الرياض,حي النرجس,جنوب شرقي,سكني,20.0,500,3000,1500000
الهفوف,حي جنوب منسوبي التعليم,شمال,سكني,15.0,400,700,280000
الرياض,حي العريجاء الوسطى,جنوب غربي,سكني,15.0,471,1348,634908
الرياض,حي اشبيلية,3 شوارع,تجاري,60.0,2500,4000,10000000
الرياض,حي اليرموك,شرق,سكني أو تجاري,30.0,900,3600,3240000
الرياض,حي العقيق,3 شوارع,تجاري,30.0,2500,4000,10000000
الرياض,حي النخيل,غرب,سكني,15.0,425,5000,2125000
ابو عريش,حي شويهة,جنوب,سكني أو تجاري,30.0,168000,25,4200000
الرياض,حي الملقا,شمال شرقي,سكني أو تجاري,20.0,958,3700,3544600
الرياض,حي النرجس,جنوب,سكني,20.0,1100,3000,3300000
الرياض,حي عرقة,جنوب,سكني,12.0,740,1800,1332000
الرياض,حي ظهرة لبن,شمال غربي,سكني أو تجاري,30.0,1680,1730,2906400
المدينة المنورة,حي السكب,شمال,سكني,25.0,800,750,600000
الرياض,حي الملقا,شمال,سكني,15.0,385,4200,1617000
الرياض,حي العقيق,جنوب غربي,تجاري,30.0,500,3650,1825000
الرياض,حي المهدية,جنوب,تجاري,40.0,900,1445,1300500
الرياض,حي العليا,جنوب,سكني,10.0,425,3059,1300075
الرياض,حي الياسمين,شمال,سكني,15.0,750,3300,2475000
المدينة المنورة,حي السلام,جنوب,سكني أو تجاري,30.0,708,1620,1146960
الخبر,حي الحمرا,شرق,سكني,20.0,875,2000,1750000
الرياض,حي الياسمين,4 شوارع,تجاري,60.0,10000,6000,60000000
الرياض,حي الروضة,جنوب,سكني,15.0,690,2320,1600800
الرياض,حي بدر,شرق,تجاري,60.0,2000,1500,3000000
الرياض,حي الضباط,4 شوارع,سكني,5.0,8296,2050,17006800
الزلفي,حي المنتزة,3 شوارع,سكني أو تجاري,20.0,675,185,124875
الرياض,حي الرمال,جنوب,تجاري,25.0,800,2000,1600000
الرس,حي الشفاء,شرق,سكني,20.0,400,662,264800
الرياض,حي المهدية,غرب,سكني,15.0,450,1100,495000
الرياض,حي ظهرة لبن,غرب,سكني أو تجاري,40.0,900,2200,1980000
الرياض,حي بنبان,جنوب,سكني,15.0,403,620,249860
الخبر,حي العقيق,جنوب,تجاري,40.0,1050,952,999600
الخبر,حي اشبيليا,شرق,تجاري,60.0,900,3333,2999700
الرياض,حي حطين,3 شوارع,سكني,60.0,10635,3500,37222500
الرياض,حي الحزم,غرب,سكني,20.0,600,1400,840000
الرياض,حي بنبان,شرق,تجاري,30.0,690,724,499560
الرياض,حي بنبان,شرق,سكني,20.0,375,880,330000
بريدة,حي الرحاب,غرب,سكني,15.0,671,268,179828
جدة,حي اللؤلؤ,شرق,سكني,25.0,300,2333,699900
الرياض,حي النظيم,شمال,سكني,15.0,936,215,201240
الرياض,حي المهدية,شمال,سكني,15.0,465,2000,930000
الرياض,حي الروابي,شمال غربي,تجاري,30.0,900,3200,2880000
الرياض,حي قرطبة,شمال شرقي,سكني,20.0,552,3600,1987200
الرياض,حي المهدية,جنوب شرقي,سكني,15.0,461,2000,922000
الرياض,حي المونسية,شمال,تجاري,36.0,2700,2200,5940000
الرياض,حي السويدي,جنوب شرقي,سكني,15.0,500,1250,625000
ثول,حي ثول,شمال,سكني أو تجاري,27.0,4500,360,1620000
الرياض,حي الملك فيصل,3 شوارع,سكني أو تجاري,30.0,960,2550,2448000
الرياض,حي السفارات,3 شوارع,سكني,20.0,5100,5000,25500000
الرياض,حي الاندلس,3 شوارع,سكني أو تجاري,30.0,1704,3200,5452800
الرياض,حي قرطبة,3 شوارع,سكني أو تجاري,36.0,3797,3200,12150400
الرياض,حي الملك فيصل,3 شوارع,سكني أو تجاري,30.0,1600,3200,5120000
الرياض,حي النرجس,شمال,سكني,20.0,450,3200,1440000
الرياض,حي المغرزات,غرب,تجاري,30.0,1980,4000,7920000
جدة,حي الصوارى,شرق,سكني,10.0,275,2000,550000
الخرج,حي مشرف,3 شوارع,سكني,20.0,625,480,300000
الرياض,حي ضاحية نمار,شمال,سكني,15.0,450,700,315000
الرياض,حي العليا,جنوب شرقي,سكني,20.0,600,3250,1950000
الرياض,حي الملقا,شرق,سكني,20.0,800,4200,3360000
جدة,حي الفردوس,شمال,سكني,32.0,900,1833,1649700
جدة,حي الفروسية,شمال,سكني أو تجاري,30.0,900,2222,1999800
الدمام,حي الأمل,جنوب شرقي,سكني أو تجاري,15.0,2119,720,1525680
الرياض,حي حطين,شرق,سكني,15.0,469,4000,1876000
الرياض,حي عرقة,غرب,سكني,12.0,416,2400,998400
الرياض,حي العقيق,3 شوارع,سكني,15.0,2250,3300,7425000
الرياض,حي النرجس,شمال,سكني,15.0,923,2800,2584400
الهفوف,حي جنوب الهفوف,شمال,سكني,15.0,210,3714,779940
الرياض,حي الرمال,جنوب,سكني,18.0,435,1800,783000
الرياض,حي الملقا,شمال غربي,سكني,20.0,726,4000,2904000
الرياض,حي الصحافة,4 شوارع,سكني,14.0,8480,3000,25440000
الرياض,حي النهضة,جنوب شرقي,سكني,14.0,806,2200,1773200
الرياض,حي الصحافة,غرب,سكني,15.0,405,3400,1377000
الخبر,حي البحيرة,شمال,سكني,16.0,556,1200,667200
الرياض,حي المهدية,جنوب غربي,سكني,20.0,600,1700,1020000
الرياض,حي الملقا,غرب,سكني,18.0,2141,3500,7493500
بريدة,حي الرحاب,شمال شرقي,سكني أو تجاري,60.0,3600,560,2016000
الرياض,حي النرجس,شمال,سكني,15.0,800,2700,2160000
الرياض,حي الملقا,4 شوارع,سكني,50.0,3684,3500,12894000
جدة,حي مريخ,شمال غربي,سكني,15.0,581,1893,1099833
الرياض,حي النخيل,شرق,سكني,20.0,1125,3600,4050000
الرياض,حي الملقا,شمال غربي,سكني,25.0,1080,3700,3996000
الرياض,حي بنبان,شرق,سكني أو تجاري,20.0,350,857,299950
المدينة المنورة,حي الملك فهد,شمال شرقي,سكني أو تجاري,30.0,632,1583,1000456
الرياض,حي ضاحية نمار,جنوب,سكني,20.0,2115,700,1480500
الرياض,حي بنبان,شمال شرقي,سكني,15.0,10000,500,5000000
الرياض,حي عرقة,3 شوارع,سكني أو تجاري,40.0,5250,3300,17325000
الرياض,حي الشفا,3 شوارع,سكني,25.0,1500,1235,1852500
الرياض,حي الملقا,شمال,سكني,15.0,1489,3400,5062600
الرياض,حي الفلاح,جنوب غربي,سكني,20.0,680,3300,2244000
الخبر,حي الرجاء,شرق,سكني,15.0,345,1014,349830
الرياض,حي الصحافة,شمال,سكني,12.0,264,3200,844800
الرياض,حي الفاروق,3 شوارع,سكني أو تجاري,60.0,3508,3800,13330400
الرياض,حي الفلاح,شمال,سكني,20.0,1120,3600,4032000
الرياض,حي الملقا,جنوب,تجاري,60.0,900,6300,5670000
الزلفي,حي المنتزة,جنوب,سكني,10.0,654,107,69978
الرياض,حي النسيم الشرقي,شرق,تجاري,30.0,462,1900,877800
الرياض,حي النرجس,جنوب شرقي,سكني,18.0,494,3500,1729000
الرياض,حي الروضة,شمال غربي,سكني,15.0,750,2200,1650000
الرياض,حي الملقا,شمال شرقي,سكني,18.0,594,4100,2435400
الرياض,حي الملقا,شمال شرقي,سكني,18.0,2912,3500,10192000
الرياض,حي الربيع,جنوب,سكني,15.0,520,3900,2028000
الرياض,حي الواحة,شمال,سكني,15.0,864,3900,3369600
الرياض,حي العليا,شمال,سكني,14.0,600,2750,1650000
الرياض,حي حطين,جنوب,سكني,36.0,1200,4600,5520000
الرياض,حي النرجس,شرق,سكني,20.0,500,2600,1300000
الرياض,حي النرجس,شمال شرقي,سكني,15.0,1050,2200,2310000
الرياض,حي حطين,شمال غربي,سكني,20.0,2800,4100,11480000
الزلفي,حي قرطبة,شمال,سكني,15.0,630,246,154980
الرياض,حي عرقة,جنوب غربي,سكني أو تجاري,20.0,1400,3300,4620000
الرياض,حي اشبيلية,3 شوارع,تجاري,60.0,2500,3500,8750000
الرياض,حي المصيف,غرب,سكني أو تجاري,36.0,910,3900,3549000
الرياض,حي الندى,3 شوارع,تجاري,60.0,9185,6000,55110000
الرياض,حي الصحافة,شمال,تجاري,36.0,720,4166,2999520
الرياض,حي الملقا,3 شوارع,سكني أو تجاري,36.0,3840,4400,16896000
الرياض,حي الربوة,جنوب غربي,سكني,12.0,1600,2200,3520000
الرياض,حي العقيق,جنوب,سكني أو تجاري,20.0,1000,3000,3000000
الرياض,حي العقيق,جنوب,سكني أو تجاري,30.0,1000,3000,3000000
الرياض,حي المرسلات,شمال,سكني,12.0,720,3150,2268000
الرياض,حي ظهرة نمار,غرب,سكني,20.0,814,1100,895400
مدينة الملك عبدالله الاقتصادية,حي ازميرالدا,شمال شرقي,سكني,20.0,419,1300,544700
الرياض,حي الحمراء,شمال شرقي,تجاري,30.0,1050,3300,3465000
الرياض,حي النرجس,غرب,سكني,15.0,780,2800,2184000
الرياض,حي ضاحية نمار,شرق,سكني,20.0,810,617,499770
رابغ,حي الفرنيسية الشرقية,جنوب,سكني,20.0,436,229,99844
جدة,حي البشائر,شمال,سكني أو تجاري,20.0,1300,1000,1300000
بريدة,حي الرحاب,جنوب,سكني,15.0,522,430,224460
المدينة المنورة,حي العزيزية,شمال شرقي,سكني أو تجاري,20.0,1652,1100,1817200
الرياض,حي بنبان,جنوب,سكني أو تجاري,25.0,630,650,409500
الرياض,حي النرجس,3 شوارع,سكني,15.0,1050,2800,2940000
ثادق,حي الجنادرية,جنوب شرقي,سكني أو تجاري,30.0,606,247,149682
الخبر,حي الصواري,شرق,سكني,15.0,1600,781,1249600
الرس,حي الاحتفالات,شمال,تجاري,40.0,690,579,399510
الرس,حي الملك فيصل,3 شوارع,سكني أو تجاري,30.0,1500,666,999000
الرياض,حي الرحمانية,3 شوارع,سكني,12.0,540,3550,1917000
الرياض,حي بنبان,شرق,سكني أو تجاري,20.0,760,700,532000
الرياض,حي الملقا,شمال,سكني,15.0,875,3200,2800000
الرياض,حي عريض,شمال شرقي,سكني,15.0,900,777,699300
جدة,حي الشراع,غرب,سكني,15.0,538,2137,1149706
احد رفيده,حي العزيزية,3 شوارع,سكني,12.0,720,305,219600
الرياض,حي المرسلات,شمال غربي,سكني,15.0,1560,2500,3900000
المدينة المنورة,حي شظاة,جنوب,سكني,25.0,625,1800,1125000
الرياض,حي السلي,4 شوارع,تجاري,100.0,820205,450,369092250
الرياض,حي بنبان,3 شوارع,تجاري,60.0,4500,2950,13275000
المدينة المنورة,حي المطار,3 شوارع,سكني أو تجاري,30.0,9700,516,5005200
الرياض,حي حطين,شرق,سكني,15.0,675,4500,3037500
الرياض,حي الملقا,جنوب,سكني,25.0,450,4200,1890000
الدمام,حي الخالدية الشمالية,شمال,سكني أو تجاري,20.0,461,2603,1199983
جدة,حي الفروسية,شمال,سكني أو تجاري,30.0,380,1500,570000
الرياض,حي المهدية,جنوب,سكني,20.0,900,1510,1359000
الرياض,حي عريض,غرب,سكني,15.0,500,720,360000
الهفوف,حي جنوب الهفوف,غرب,سكني,20.0,3000,430,1290000
الرياض,حي المحمدية,جنوب شرقي,سكني,15.0,729,4801,3499929
الرياض,حي المغرزات,غرب,سكني,15.0,600,3250,1950000
الرياض,حي الملقا,جنوب,سكني,20.0,667,4200,2801400
الرياض,حي الخليج,غرب,سكني,15.0,390,2300,897000
الرياض,حي بنبان,شرق,سكني أو تجاري,30.0,830,963,799290
الرياض,حي الملقا,شمال شرقي,سكني,15.0,400,4300,1720000
الدمام,حي البادية,شرق,سكني,13.0,325,1846,599950
الدمام,حي السيف,3 شوارع,سكني أو تجاري,20.0,1484,1500,2226000
الرياض,حي المهدية,شمال,سكني أو تجاري,25.0,450,1666,749700
الرياض,حي القادسية,شمال,سكني,20.0,325,1700,552500
الرياض,حي الخزامى,جنوب,سكني أو تجاري,30.0,500,4200,2100000
الرياض,حي بدر,شرق,سكني,18.0,434,1100,477400
الرياض,حي المهدية,شمال,سكني,20.0,375,1400,525000
الدرعية,حي الدرعية الجديدة,شرق,سكني,15.0,325,1800,585000
الرياض,حي قرطبة,غرب,تجاري,30.0,858,3000,2574000
الرياض,حي الفلاح,شمال,سكني,20.0,600,3750,2250000
الرياض,حي النرجس,جنوب,تجاري,36.0,900,3950,3555000
الخبر,حي الكوثر,شمال,سكني أو تجاري,40.0,875,857,749875
الرياض,حي النرجس,جنوب,سكني,20.0,1070,3200,3424000
الخبر,حي الصواري,شمال شرقي,سكني,15.0,700,1057,739900
الرياض,حي طويق,شرق,سكني,15.0,400,1625,650000
الرياض,حي الملقا,شمال,سكني,18.0,760,4100,3116000
الرياض,حي الملك عبدالله,3 شوارع,سكني,30.0,3250,4500,14625000
الرياض,حي القادسية,شرق,سكني,15.0,1100,2000,2200000
الخبر,حي الشراع,شمال,سكني,30.0,875,971,849625
الرياض,حي عرقة,شرق,سكني,15.0,375,3500,1312500
الرياض,حي عرقة,غرب,سكني,15.0,405,3600,1458000
الرياض,حي الملقا,شمال,سكني,20.0,1677,3700,6204900
الرياض,حي الرمال,جنوب,سكني,15.0,448,1650,739200
الرياض,حي المونسية,شمال شرقي,سكني أو تجاري,30.0,1400,2500,3500000
